# From MPC 26543
P/2009 O3 (Hill),e,16.2117,183.8148,154.4613,7.796128,0.0452778,0.68473753,94.7569,02/05.0/2015,2000,g 12.5,4.0
# From MPC 67147
C/2009 O4 (Hill),h,12/31.7392/2009,95.6618,172.9923,223.7676,1.000993,2.564958,2000,10.0,4.0
# From MPC 89309
C/2009 P1 (Garradd),h,12/22.9140/2011,106.1637,325.9922,90.7234,1.000029,1.552222,2000,4.0,4.0
# From MPC 76024
C/2009 P2 (Boattini),h,02/13.6830/2010,163.4471,60.4813,76.3263,1.003196,6.542061,2000,6.0,4.0
# From MPC 75710
P/2009 Q1 (Hill),e,14.4759,173.9935,157.5481,5.512133,0.0761596,0.49442701,156.0278,02/05.0/2015,2000,g 11.5,4.0
# From MPC 72850
P/2009 Q4 (Boattini),e,10.9807,127.5993,320.1257,3.136059,0.1774711,0.58003997,337.2193,02/05.0/2015,2000,g 15.5,4.0
# From MPC 68902
